page_type,route,brand_slug,model_slug,variant_slug,display_name,main_image,small_image
model,/jaguar/x-type,jaguar,x-type,,Jaguar X Type,/images/brands/jaguar/models/jaguar-x-type-main.webp,/images/brands/jaguar/models/jaguar-x-type-small.webp
model,/jaguar/xe,jaguar,xe,,Jaguar XE,/images/brands/jaguar/models/jaguar-xe-main.webp,/images/brands/jaguar/models/jaguar-xe-small.webp
model,/jaguar/xf,jaguar,xf,,Jaguar XF,/images/brands/jaguar/models/jaguar-xf-main.webp,/images/brands/jaguar/models/jaguar-xf-small.webp
model,/jaguar/xj,jaguar,xj,,Jaguar XJ,/images/brands/jaguar/models/jaguar-xj-main.webp,/images/brands/jaguar/models/jaguar-xj-small.webp
model,/jaguar/xk,jaguar,xk,,Jaguar XK,/images/brands/jaguar/models/jaguar-xk-main.webp,/images/brands/jaguar/models/jaguar-xk-small.webp
model,/mercedes-benz/a-class,mercedes-benz,a-class,,Mercedes Benz A Class,/images/brands/mercedes-benz/models/mercedes-benz-a-class-main.webp,/images/brands/mercedes-benz/models/mercedes-benz-a-class-small.webp
model,/mercedes-benz/amg-gt,mercedes-benz,amg-gt,,Mercedes Benz AMG GT,/images/brands/mercedes-benz/models/mercedes-benz-amg-gt-main.webp,/images/brands/mercedes-benz/models/mercedes-benz-amg-gt-small.webp
model,/mercedes-benz/b-class,mercedes-benz,b-class,,Mercedes Benz B Class,/images/brands/mercedes-benz/models/mercedes-benz-b-class-main.webp,/images/brands/mercedes-benz/models/mercedes-benz-b-class-small.webp
model,/mercedes-benz/c-class,mercedes-benz,c-class,,Mercedes Benz C Class,/images/brands/mercedes-benz/models/mercedes-benz-c-class-main.webp,/images/brands/mercedes-benz/models/mercedes-benz-c-class-small.webp
model,/mercedes-benz/citan,mercedes-benz,citan,,Mercedes Benz Citan,/images/brands/mercedes-benz/models/mercedes-benz-citan-main.webp,/images/brands/mercedes-benz/models/mercedes-benz-citan-small.webp
model,/mercedes-benz/cla,mercedes-benz,cla,,Mercedes Benz CLA,/images/brands/mercedes-benz/models/mercedes-benz-cla-main.webp,/images/brands/mercedes-benz/models/mercedes-benz-cla-small.webp
